date,id,username,text,pm
2019-01-16 23:45:42+00:00,1085684548367609856,cahulaan,"'Humiliated': World media react to British PM's Brexit defeat: Britain is in ""uncharted waters"" after Prime Minister Theresa May was ""humiliated"" by the ""crushing defeat"" of her Brexit deal in parliament,… http://dlvr.it/QwrBx6 #ImpeachTrump #ImpeachKavanaugh #TheResistance",may
2019-01-16 23:45:25+00:00,1085684480939982848,FloydCaldwelll,Theresa May narrowly survives another bid to topple her amid Brexit chaos https://www.nbcnews.com/storyline/brexit-referendum/theresa-may-survives-no-confidence-vote-after-brexit-plan-crushed-n959296?cid=db_npd_nn_fb_fbbot via @nbcnews,may
2019-01-16 23:45:07+00:00,1085684403848634371,marciojmsilva,Theresa May aberta ao diálogo mas não recua no Brexit http://dlvr.it/QwrBnb,may
2019-01-16 23:45:01+00:00,1085684376728408076,Genji_bow,"@theresa_may you talk of self interest, you bought loyalty, with tax payer funds. I’m going to dig up all the brexit info including legal texts. @DUPleader £550 per person in Ireland for the confidence and supply eh, value of a life huh? #PeoplesVoteNow",may
2019-01-16 23:45:00+00:00,1085684375067508737,voxdotcom,"Theresa May fended off a no confidence vote Wednesday, but she still needs to come up with a new Brexit plan — fast. ",may
2019-01-16 23:45:00+00:00,1085684373540589568,trtworld,Prime Minister Theresa May's Brexit deal was voted down in an historic Commons defeat. So what's next for Brexit? ,may
2019-01-16 23:44:23+00:00,1085684221077868546,MichelBitller,"#Brexit et tant qu'à faire #Frexit Il semble bien que les #Anglais , #GB , se soient fait bourrer le mou par les européistes . Que #Dieu protège Theresa #May",may
2019-01-16 23:44:15+00:00,1085684183962394624,111meeuwis,Theresa May Made A Late Night Downing Street Statement On Brexit And It's Left People Fuming ,may
2019-01-16 23:44:14+00:00,1085684180372127744,GeorgAlbrecht1,am Donnerstag früh treffe ich beruflich Briten. bin gespannt wie die drauf sind! ... #Brexit #TheresaMay #EU ,may
2019-01-16 23:44:06+00:00,1085684147941793793,NewNewsey,Theresa May made a late night Downing Street statement on Brexit and it's left people fuming ,may
2019-01-16 23:44:05+00:00,1085684144791638016,multivisionfed,TENSIÓN POR EL BREXIT: THERESA MAY SUPERÓ LA MOCIÓN DE CENSURA Y SEGUIRÁ EN SU CARGO http://dlvr.it/QwrBfL,may
2019-01-16 23:44:05+00:00,1085684141956497414,beki674,BBC News - Brexit: Theresa May says MPs must 'work together' to deliver Brexit ,may
2019-01-16 23:44:04+00:00,1085684139116892160,debatesrus,Good question. However Theresa May IS one of the Remoaner MPs... As perfectly demonstrated in: Her ability to completely dominate the Brexit process since becoming PM; ensure the worst possible deal; soon to cancel ‘NoDeal’; and say all along “I tried my best”. TM=This Brexit. ,may
2019-01-16 23:44:03+00:00,1085684136860438528,Shinergise,"""Overwhelmingly the British people want us to get on with delivering Brexit and also address the other important issues they care about."" @theresa_may this has NEVER been true and never will be, 52:48 is not overwhelming, when will you stop and smell your own BS???",may
2019-01-16 23:44:03+00:00,1085684134821933057,tddigital,(El Parlamento falló en contra del Plan Brexit de Theresa May: el análisis de Pablo Wehbe) publicado por Telediario Digital - http://www.telediariodigital.net/2019/01/el-parlamento-fallo-en-contra-del-plan-brexit-de-theresa-may-el-analisis-de-pablo-wehbe/,may
